source,target,weight
Alves,Fabio Brazza,1
Fiorenza Cossotto,Nicola Martinucci,1
Alves,Jhony Mc,1
Alves,Krawk,1
Alves,Max Bo,1
Alves,Nocivo Shomon,1
Alves,Sid,1
Giuseppe Verdi,Nicola Martinucci,1
Fabio Brazza,Jhony Mc,1
Fabio Brazza,Krawk,1
Fabio Brazza,Max Bo,1
Luigi Roni,Nicola Martinucci,1
Fabio Brazza,Nocivo Shomon,1
Fabio Brazza,Sid,1
Jhony Mc,Krawk,1
Jhony Mc,Max Bo,1
Montserrat Caballé,Nicola Martinucci,1
Jhony Mc,Nocivo Shomon,1
Jhony Mc,Sid,1
Krawk,Max Bo,1
New Philharmonia Orchestra,Nicola Martinucci,1
Krawk,Nocivo Shomon,1
Nicola Martinucci,Nicolai Ghiaurov,1
Nicola Martinucci,Plácido Domingo,1
Nicola Martinucci,Riccardo Muti,1
Krawk,Sid,1
Max Bo,Nocivo Shomon,1
Léo Delibes,Richard Kapp,1
Anthony Inglis,Katherine Jenkins,1
Anthony Inglis,Kiri Te Kanawa,1
Anthony Inglis,Philharmonia Orchestra,1
Katherine Jenkins,Kiri Te Kanawa,1
Max Bo,Sid,1
Kiri Te Kanawa,Philharmonia Orchestra,1
Alfred Walter,Georges Bizet,1
Alfred Walter,Philharmonia Cassovia,1
Georges Bizet,Philharmonia Cassovia,1
Herbie Hancock,Josh Groban,1
Bruno Pelletier,Roberto Alagna,1
Alessandro Scarlatti,Alexandra Koreneva,1
Alessandro Scarlatti,Arsenale Sonoro,1
Alessandro Scarlatti,Cristina Vidoni,1
Alessandro Scarlatti,Ludovico Minasi,1
Alexandra Koreneva,Arsenale Sonoro,1
Alexandra Koreneva,Cristina Vidoni,1
Alexandra Koreneva,Ludovico Minasi,1
Arsenale Sonoro,Cristina Vidoni,1
Arsenale Sonoro,Ludovico Minasi,1
Cristina Vidoni,Ludovico Minasi,1
Alain Buet,Cappella Mediterranea,1
Alain Buet,Chœur De Chambre De Namur,1
Alain Buet,Jean-Baptiste Lully,1
Alain Buet,Judith van Wanroij,1
Alain Buet,Leonardo García-Alarcón,1
Alain Buet,Matthias Vidal,1
Alain Buet,Millenium Orchestra,1
Alain Buet,Sophie Junker,1
Alain Buet,Thibaut Lenaerts,1
Cappella Mediterranea,Chœur De Chambre De Namur,1
Cappella Mediterranea,Jean-Baptiste Lully,1
Cappella Mediterranea,Judith van Wanroij,1
Cappella Mediterranea,Leonardo García-Alarcón,1
Cappella Mediterranea,Matthias Vidal,1
Cappella Mediterranea,Millenium Orchestra,1
Cappella Mediterranea,Sophie Junker,1
Cappella Mediterranea,Thibaut Lenaerts,1
Chœur De Chambre De Namur,Jean-Baptiste Lully,1
Chœur De Chambre De Namur,Judith van Wanroij,1
Chœur De Chambre De Namur,Leonardo García-Alarcón,1
Chœur De Chambre De Namur,Matthias Vidal,1
Chœur De Chambre De Namur,Millenium Orchestra,1
Chœur De Chambre De Namur,Sophie Junker,1
Chœur De Chambre De Namur,Thibaut Lenaerts,1
Jean-Baptiste Lully,Judith van Wanroij,1
Jean-Baptiste Lully,Leonardo García-Alarcón,1
Jean-Baptiste Lully,Matthias Vidal,1
Jean-Baptiste Lully,Millenium Orchestra,1
Jean-Baptiste Lully,Sophie Junker,1
Jean-Baptiste Lully,Thibaut Lenaerts,1
Judith van Wanroij,Leonardo García-Alarcón,1
Judith van Wanroij,Matthias Vidal,1
Judith van Wanroij,Millenium Orchestra,1
Judith van Wanroij,Sophie Junker,1
Judith van Wanroij,Thibaut Lenaerts,1
Leonardo García-Alarcón,Matthias Vidal,1
Leonardo García-Alarcón,Millenium Orchestra,1
Leonardo García-Alarcón,Sophie Junker,1
Leonardo García-Alarcón,Thibaut Lenaerts,1
Matthias Vidal,Millenium Orchestra,1
Matthias Vidal,Sophie Junker,1
Matthias Vidal,Thibaut Lenaerts,1
Millenium Orchestra,Sophie Junker,1
Millenium Orchestra,Thibaut Lenaerts,1
Sophie Junker,Thibaut Lenaerts,1
Luciano Pavarotti,Zucchero,1
Bavarian Radio Symphony Orchestra,Eugen Jochum,1
Bavarian Radio Symphony Orchestra,Richard Wagner,1
Eugen Jochum,Richard Wagner,1
Charles Gounod,Kana Omori,1
Charles Gounod,Riho Yamaji,1
Charles Gounod,Yurika Kimura,1
Kana Omori,Riho Yamaji,1
Kana Omori,Yurika Kimura,1
Riho Yamaji,Yurika Kimura,1
Amira Willighagen,Corlea,1
Budapest Symphony Orchestra,György Lehel,1
Budapest Symphony Orchestra,Richard Wagner,1
György Lehel,Richard Wagner,1
Nocivo Shomon,Sid,1
Gabriela Rocha,Nívea Soares,1
Azzy,Baratapai,1
Sir Georg Solti,Vienna State Opera Chorus,1
Azzy,Major RD,1
Vienna State Opera Chorus,Wiener Philharmoniker,1
Ambrosian Opera Chorus,Christian Du Plessis,1
Ambrosian Opera Chorus,Dame Joan Sutherland,1
Azzy,Rock Danger,1
Ambrosian Opera Chorus,John Gibbs,1
Baratapai,Major RD,1
Baratapai,Rock Danger,1
Cascão,DJ Cia,1
Christian Du Plessis,Dame Joan Sutherland,1
Christian Du Plessis,Giuseppe Verdi,1
Christian Du Plessis,John Gibbs,1
Christian Du Plessis,London Symphony Orchestra,1
Christian Du Plessis,Riccardo Cassinelli,1
Christian Du Plessis,Richard Bonynge,1
Cascão,Helião,1
Dame Joan Sutherland,John Gibbs,1
Dame Joan Sutherland,London Symphony Orchestra,1
Dame Joan Sutherland,Riccardo Cassinelli,1
Cascão,Sabotage,1
Giuseppe Verdi,John Gibbs,1
Cachorro Grande,Nando Reis,1
John Gibbs,London Symphony Orchestra,1
John Gibbs,Riccardo Cassinelli,1
John Gibbs,Richard Bonynge,1
Maquiny,Orochi,1
BK,Makalister,1
BK,Menestrel,1
BK,Pineapple StormTv,1
BK,Sant,1
Gioachino Rossini,Jesús López-Cobos,1
Gioachino Rossini,Orchestre de Chambre de Lausanne,1
Jesús López-Cobos,Orchestre de Chambre de Lausanne,1
BK,Slim Beat,1
Djonga,JXNV$,1
Djonga,Makalister,1
Anna Netrebko,Salvatore Cordella,1
Djonga,Menestrel,1
Djonga,Pineapple StormTv,1
Carlo Rizzi,Salvatore Cordella,1
Djonga,Sant,1
Giuseppe Verdi,Salvatore Cordella,1
Rolando Villazón,Salvatore Cordella,1
Djonga,Slim Beat,1
Salvatore Cordella,Wiener Philharmoniker,1
Carlo Rizzi,Edita Gruberova,1
Carlo Rizzi,London Symphony Orchestra,1
Carlo Rizzi,Neil Shicoff,1
Edita Gruberova,Giuseppe Verdi,1
Edita Gruberova,London Symphony Orchestra,1
Edita Gruberova,Neil Shicoff,1
Giuseppe Verdi,Neil Shicoff,1
London Symphony Orchestra,Neil Shicoff,1
Chorus of the Royal Opera House,Trumpeters of the Royal Military School of Music,1
Covent Garden,Trumpeters of the Royal Military School of Music,1
Giuseppe Verdi,Trumpeters of the Royal Military School of Music,1
New Philharmonia Orchestra,Trumpeters of the Royal Military School of Music,1
Riccardo Muti,Trumpeters of the Royal Military School of Music,1
Alison Krauss,Andrea Bocelli,1
JXNV$,Makalister,1
JXNV$,Menestrel,1
JXNV$,Pineapple StormTv,1
JXNV$,Sant,1
Jules Massenet,Raymond Agoult,1
Jules Massenet,The New Symphony Orchestra Of London,1
Raymond Agoult,The New Symphony Orchestra Of London,1
Alain Goraguer Et Son Orchestre,Nana Mouskouri,1
Bruno Bartoletti,Giacomo Puccini,1
Bruno Bartoletti,Mirella Freni,1
Bruno Bartoletti,Orchestra del Maggio Musicale Fiorentino,1
Giacomo Puccini,Orchestra del Maggio Musicale Fiorentino,1
Mirella Freni,Orchestra del Maggio Musicale Fiorentino,1
JXNV$,Slim Beat,1
Makalister,Menestrel,1
Makalister,Pineapple StormTv,1
Makalister,Sant,1
Jacques Offenbach,Julian Riem,1
Jacques Offenbach,Raphaela Gromes,1
Jacques Offenbach,Wen-Sinn Yang,1
Julian Riem,Raphaela Gromes,1
Julian Riem,Wen-Sinn Yang,1
Raphaela Gromes,Wen-Sinn Yang,1
Georges Bizet,National Philharmonic Orchestra,1
Georges Bizet,Nicolai Ghiaurov,1
Georges Bizet,Robin Stapleton,1
Luciano Pavarotti,Robin Stapleton,1
National Philharmonic Orchestra,Nicolai Ghiaurov,1
National Philharmonic Orchestra,Robin Stapleton,1
Nicolai Ghiaurov,Robin Stapleton,1
Gregory Porter,Renée Fleming,1
Armando Gatto,Giacomo Puccini,1
Armando Gatto,Luciano Pavarotti,1
Armando Gatto,Orchestra del Teatro Arena di Verona,1
Giacomo Puccini,Orchestra del Teatro Arena di Verona,1
Luciano Pavarotti,Orchestra del Teatro Arena di Verona,1
Makalister,Slim Beat,1
Menestrel,Pineapple StormTv,1
Menestrel,Sant,1
Menestrel,Slim Beat,1
Pineapple StormTv,Sant,1
Gioachino Rossini,Marcus Creed,1
Gioachino Rossini,Philip Mayers,1
Gioachino Rossini,Philip Moll,1
Gioachino Rossini,RIAS Kammerchor,1
Gioachino Rossini,Ryoko Morooka,1
Marcus Creed,Philip Mayers,1
Marcus Creed,Philip Moll,1
Marcus Creed,RIAS Kammerchor,1
Marcus Creed,Ryoko Morooka,1
Philip Mayers,Philip Moll,1
Philip Mayers,RIAS Kammerchor,1
Philip Mayers,Ryoko Morooka,1
Philip Moll,RIAS Kammerchor,1
Philip Moll,Ryoko Morooka,1
RIAS Kammerchor,Ryoko Morooka,1
Cheryl Studer,Coro Del Teatro Alla Scala Di Milano,1
Cheryl Studer,Dolora Zajic,1
Cheryl Studer,Giuseppe Verdi,1
Cheryl Studer,Luciano Pavarotti,1
Cheryl Studer,Milano,1
Cheryl Studer,Orchestra Del Teatro Alla Scala,1
Cheryl Studer,Riccardo Muti,1
Cheryl Studer,Samuel Ramey,1
Pineapple StormTv,Slim Beat,1
Sant,Slim Beat,1
Coro Del Teatro Alla Scala Di Milano,Luciano Pavarotti,1
BDK,Yung Buda,1
Coro Del Teatro Alla Scala Di Milano,Samuel Ramey,1
Andrea Martins,Nando Reis,1
Dolora Zajic,Luciano Pavarotti,1
Alaska,Dalsin,1
Alaska,Gioprod,1
Dalsin,Gioprod,1
Dolora Zajic,Samuel Ramey,1
Dinho Ouro Preto,Leoni,1
Negra Li,Sabotage,1
ADL,Froid,1
ADL,Raillow,1
ADL,Sant,1
Froid,Raillow,1
Luciano Pavarotti,Samuel Ramey,1
Froid,Sant,1
Raillow,Sant,1
Capital Inicial,Seu Jorge,1
Raimundos,Érica Martins,1
3030,Lauana Prado,1
Andrea Bocelli,Kenny G,1
BK,Baco Exu do Blues,1
Baco Exu do Blues,Luccas Carlos,1
Friedrich von Flotow,Luciano Pavarotti,1
Friedrich von Flotow,New Philharmonia Orchestra,1
Friedrich von Flotow,Richard Bonynge,1
Luciano Pavarotti,New Philharmonia Orchestra,1
New Philharmonia Orchestra,Richard Bonynge,1
Alessandro Safina,Sarah Brightman,1
Academy of St. Martin in the Fields,Gioachino Rossini,1
Gioachino Rossini,Sir Neville Marriner,1
Avi Avital,London Orchestra,1
Avi Avital,Nemanja Radulović,1
Avi Avital,Roberto Alagna,1
Avi Avital,Yvan Cassar,1
London Orchestra,Nemanja Radulović,1
Baco Exu do Blues,Nave,1
Luccas Carlos,Nave,1
Nemanja Radulović,Roberto Alagna,1
Nemanja Radulović,Yvan Cassar,1
BEATDOMK,Puro Suco,1
Andrea Bocelli,London Symphony Orchestra,1
Andrea Bocelli,Lorin Maazel,1
Andrea Bocelli,Ruggero Leoncavallo,1
London Symphony Orchestra,Lorin Maazel,1
London Symphony Orchestra,Ruggero Leoncavallo,1
Lorin Maazel,Ruggero Leoncavallo,1
David Quinlan,Heloisa Rosa,1
MC Hariel,Maneva,1
Erasmo Carlos,Renato Russo,1
Alex Albino,HAWK.,1
Alex Albino,Reznikov,1
HAWK.,Reznikov,1
Jailhouse,Neo Beats,1
Jailhouse,Xamã,1
Daniel Harding,Deutsche Kammerphilharmonie Bremen,1
Daniel Harding,Renaud Capuçon,1
Deutsche Kammerphilharmonie Bremen,Jules Massenet,1
Deutsche Kammerphilharmonie Bremen,Renaud Capuçon,1
Alexandre Tharaud,Jean-Philippe Rameau,1
Berlin Radio Symphony Orchestra,Franz Lehár,1
Berlin Radio Symphony Orchestra,Jochen Rieder,1
Berlin Radio Symphony Orchestra,Jonas Kaufmann,1
Franz Lehár,Jochen Rieder,1
Franz Lehár,Jonas Kaufmann,1
Jochen Rieder,Jonas Kaufmann,1
Academy of St. Martin in the Fields,Amilcare Ponchielli,1
Amilcare Ponchielli,Sir Neville Marriner,1
Georges Bizet,Orchestre du Theatre National de IOpera-Comique,1
Georges Bizet,Pierre Dervaux,1
Orchestre du Theatre National de IOpera-Comique,Pierre Dervaux,1
Mano fler,Tiankris,1
Claudio Scimone,Pierre Pierlot,1
Mano fler,Xamã,1
I Solisti Veneti,Pierre Pierlot,1
Tiankris,Xamã,1
Pierre Pierlot,Tomaso Albinoni,1
Giuseppe Verdi,Peter Maag,1
Luciano Pavarotti,Peter Maag,1
National Philharmonic Orchestra,Peter Maag,1
Ponto De Equilíbrio,Tati Portella,1
Pregador Luo,Trazendo a Arca,1
3030,Rael,1
Isadora Pompeo,Isaias Saad,1
Eyshila,Weslei Santos,1
Atentado Napalm,Fabio Brazza,1
Bagua Records,Gooba,1
Gooba,Major RD,1
Raffé,Sueth,1
Raffé,UCLÃ,1
Jacob Hemphill,Natiruts,1
Ana Vilela,Nando Reis,1
Froid,Pedro Lotto,1
Bruna Karla,Delino Marçal,1
Samuel Messias,Sarah Farias,1
Cynthia Luz,Projota,1
Alfredo Catalani,Maria Callas,1
Alfredo Catalani,Philharmonia Orchestra,1
Alfredo Catalani,Tullio Serafin,1
Maria Callas,Philharmonia Orchestra,1
Philharmonia Orchestra,Tullio Serafin,1
Gioachino Rossini,Lawrence Renes,1
Gioachino Rossini,Peter Mattei,1
Gioachino Rossini,Royal Stockholm Philharmonic Orchestra,1
Lawrence Renes,Peter Mattei,1
Lawrence Renes,Royal Stockholm Philharmonic Orchestra,1
Peter Mattei,Royal Stockholm Philharmonic Orchestra,1
Boston Symphony Orchestra,Jacques Offenbach,1
Jacques Offenbach,Seiji Ozawa,1
Alfie Boe,Rob Houchen,1
Antonia Fahberg,Bernhard Wilfert,1
Antonia Fahberg,Chor,1
Antonia Fahberg,Franz Fehringer,1
Antonia Fahberg,Franz Marszalek,1
Antonia Fahberg,Grosses Operetten Orchester,1
Antonia Fahberg,Herta Talmar,1
Antonia Fahberg,Peter Alexander,1
Antonia Fahberg,Robert Stolz,1
Antonia Fahberg,Willy Hofmann,1
Bernhard Wilfert,Chor,1
Bernhard Wilfert,Franz Fehringer,1
Bernhard Wilfert,Franz Marszalek,1
Bernhard Wilfert,Grosses Operetten Orchester,1
Bernhard Wilfert,Herta Talmar,1
Bernhard Wilfert,Peter Alexander,1
Bernhard Wilfert,Robert Stolz,1
Bernhard Wilfert,Willy Hofmann,1
Chor,Franz Fehringer,1
Chor,Franz Marszalek,1
Chor,Grosses Operetten Orchester,1
Chor,Herta Talmar,1
Chor,Peter Alexander,1
Chor,Robert Stolz,1
Chor,Willy Hofmann,1
Franz Fehringer,Franz Marszalek,1
Franz Fehringer,Grosses Operetten Orchester,1
Franz Fehringer,Herta Talmar,1
Franz Fehringer,Peter Alexander,1
Franz Fehringer,Robert Stolz,1
Franz Fehringer,Willy Hofmann,1
Franz Marszalek,Grosses Operetten Orchester,1
Franz Marszalek,Herta Talmar,1
Franz Marszalek,Peter Alexander,1
Franz Marszalek,Robert Stolz,1
Franz Marszalek,Willy Hofmann,1
Grosses Operetten Orchester,Herta Talmar,1
Grosses Operetten Orchester,Peter Alexander,1
Grosses Operetten Orchester,Robert Stolz,1
Grosses Operetten Orchester,Willy Hofmann,1
Herta Talmar,Peter Alexander,1
Herta Talmar,Robert Stolz,1
Herta Talmar,Willy Hofmann,1
Peter Alexander,Robert Stolz,1
Peter Alexander,Willy Hofmann,1
Robert Stolz,Willy Hofmann,1
Delphine Haidan,Léo Delibes,1
Delphine Haidan,Michel Plasson,1
Delphine Haidan,Natalie Dessay,1
Delphine Haidan,Orchestre Du Capitole De Toulouse,1
Léo Delibes,Michel Plasson,1
Léo Delibes,Natalie Dessay,1
Léo Delibes,Orchestre Du Capitole De Toulouse,1
Michel Plasson,Natalie Dessay,1
Michel Plasson,Orchestre Du Capitole De Toulouse,1
Natalie Dessay,Orchestre Du Capitole De Toulouse,1
Quatuor Zaïde,Vincenzo Bellini,1
Théophile Alexandre,Vincenzo Bellini,1
Berliner Philharmoniker,Richard Wagner,1
Berliner Philharmoniker,Waltraud Meier,1
Daniel Barenboim,Richard Wagner,1
Daniel Barenboim,Waltraud Meier,1
Richard Wagner,Waltraud Meier,1
André e Felipe,Rebeca Carvalho,1
Covent Garden,Sir Edward Downes,1
Froid,Nagalli,1
Giacomo Puccini,Sir Edward Downes,1
Luciano Pavarotti,Sir Edward Downes,1
Orchestra of the Royal Opera House,Sir Edward Downes,1
George Dalaras,George Perris,1
Giacomo Puccini,Kent Nagano,1
Giacomo Puccini,Orchestre de l'Opéra de Lyon,1
Kent Nagano,Kiri Te Kanawa,1
Kent Nagano,Orchestre de l'Opéra de Lyon,1
Kiri Te Kanawa,Orchestre de l'Opéra de Lyon,1
Cristina Gallardo-Domas,Giuseppe Verdi,1
Das Münchner Rundfunkorchester,Giuseppe Verdi,1
Giuseppe Verdi,Maurizio Barbacini,1
Giuseppe Verdi,Munich Radio Orchestra,1
Duzz,Real G,1
Duzz,Sos,1
Peunubeat,Real G,1
Peunubeat,Sos,1
Real G,Sos,1
Real G,Sueth,1
Robbie McIntosh,Russell Watson,1
Arturo Sandoval,Josh Groban,1
Emmerich Kálmán,Peter Alexander,1
Alessandro Scarlatti,Marnix Dorrestein,1
Alessandro Scarlatti,Nora Fischer,1
Marnix Dorrestein,Nora Fischer,1
Anna Moffo,Antonino Votto,1
Anna Moffo,Giacomo Puccini,1
Anna Moffo,Giuseppe Di Stefano,1
Anna Moffo,Maria Callas,1
Anna Moffo,Milano,1
Anna Moffo,Orchestra Del Teatro Alla Scala,1
Anna Moffo,Orchestra Del Teatro Alla Scala Di Milan,1
Anna Moffo,Rolando Panerai,1
Antonino Votto,Giacomo Puccini,1
Antonino Votto,Giuseppe Di Stefano,1
Antonino Votto,Maria Callas,1
Antonino Votto,Milano,1
Antonino Votto,Orchestra Del Teatro Alla Scala,1
Antonino Votto,Orchestra Del Teatro Alla Scala Di Milan,1
Antonino Votto,Rolando Panerai,1
Giacomo Puccini,Giuseppe Di Stefano,1
Giacomo Puccini,Maria Callas,1
Giacomo Puccini,Milano,1
Giacomo Puccini,Orchestra Del Teatro Alla Scala,1
Giacomo Puccini,Orchestra Del Teatro Alla Scala Di Milan,1
Giuseppe Di Stefano,Maria Callas,1
Giuseppe Di Stefano,Milano,1
Giuseppe Di Stefano,Orchestra Del Teatro Alla Scala,1
Giuseppe Di Stefano,Orchestra Del Teatro Alla Scala Di Milan,1
Giuseppe Di Stefano,Rolando Panerai,1
Maria Callas,Orchestra Del Teatro Alla Scala Di Milan,1
Maria Callas,Rolando Panerai,1
Milano,Orchestra Del Teatro Alla Scala Di Milan,1
Milano,Rolando Panerai,1
Orchestra Del Teatro Alla Scala,Orchestra Del Teatro Alla Scala Di Milan,1
Orchestra Del Teatro Alla Scala,Rolando Panerai,1
Orchestra Del Teatro Alla Scala Di Milan,Rolando Panerai,1
Real G,UCLÃ,1
Sos,Sueth,1
El Lif Beatz,Nave,1
Gabriel O Pensador,Ponto De Equilíbrio,1
Fabio Brazza,Gigante No Mic,1
London Symphony Orchestra,Montserrat Caballé,1
London Symphony Orchestra,Sir Charles Mackerras,1
Montserrat Caballé,Sir Charles Mackerras,1
Fabio Brazza,Léo Casa 1,1
Fabio Brazza,Mano Fler,1
Fabio Brazza,Rap Box,1
Dame Joan Sutherland,Montserrat Caballé,1
Fabio Brazza,Zeus,1
Gigante No Mic,Léo Casa 1,1
Gigante No Mic,Mano Fler,1
John Alldis Choir,Montserrat Caballé,1
Gigante No Mic,Rap Box,1
Gigante No Mic,Zeus,1
Léo Casa 1,Mano Fler,1
Luciano Pavarotti,Montserrat Caballé,1
Léo Casa 1,Rap Box,1
Montserrat Caballé,Sir Peter Pears,1
Léo Casa 1,Zeus,1
Mano Fler,Rap Box,1
Ambrosian Opera Chorus,Kiri Te Kanawa,1
Ambrosian Opera Chorus,Luciano Pavarotti,1
Ambrosian Opera Chorus,Sherrill Milnes,1
Giuseppe Verdi,Kiri Te Kanawa,1
Giuseppe Verdi,Sherrill Milnes,1
Kiri Te Kanawa,Luciano Pavarotti,1
Kiri Te Kanawa,Riccardo Cassinelli,1
Kiri Te Kanawa,Richard Bonynge,1
Kiri Te Kanawa,Sherrill Milnes,1
London Symphony Orchestra,Sherrill Milnes,1
Luciano Pavarotti,Riccardo Cassinelli,1
Luciano Pavarotti,Sherrill Milnes,1
Riccardo Cassinelli,Sherrill Milnes,1
Richard Bonynge,Sherrill Milnes,1
Mano Fler,Zeus,1
Rap Box,Zeus,1
Eliana Ribeiro,Monsenhor Jonas Abib,1
Alfredo Kraus,Great Festival Choir and Orchestra,1
Great Festival Choir and Orchestra,Kurt Sanderling,1
Great Festival Choir and Orchestra,Symphony Orchestra of Madrid,1
Alfredo Kraus,Guitar Accompaniment,1
Choir of The King's Consort,Katherine Jenkins,1
Choir of The King's Consort,Nicholas Dodd,1
Choir of The King's Consort,Philharmonia Orchestra,1
Katherine Jenkins,Nicholas Dodd,1
Nicholas Dodd,Philharmonia Orchestra,1
Charlotte Church,James Horner,1
Luciano Pavarotti,Pino Daniele,1
Chorão,Sabotage,1
Imelda Staunton,The 2012 London Cast of Sweeney Todd,1
Carl Michalski,Fritz Wunderlich,1
Carl Michalski,Symphonieorchester Graunke,1
Fritz Wunderlich,Symphonieorchester Graunke,1
Guillaume Vincent,Nicola Porpora,1
Guillaume Vincent,Théophile Alexandre,1
Nicola Porpora,Théophile Alexandre,1
Astrid Varnay,Kathleen Kuhlmann,1
Astrid Varnay,Leo Nucci,1
Astrid Varnay,Montserrat Caballé,1
Astrid Varnay,National Philharmonic Orchestra,1
Astrid Varnay,Riccardo Chailly,1
Astrid Varnay,Umberto Giordano,1
Kathleen Kuhlmann,Leo Nucci,1
Kathleen Kuhlmann,Montserrat Caballé,1
Kathleen Kuhlmann,National Philharmonic Orchestra,1
Kathleen Kuhlmann,Riccardo Chailly,1
Kathleen Kuhlmann,Umberto Giordano,1
Leo Nucci,Montserrat Caballé,1
Leo Nucci,National Philharmonic Orchestra,1
Leo Nucci,Riccardo Chailly,1
Leo Nucci,Umberto Giordano,1
Montserrat Caballé,National Philharmonic Orchestra,1
Montserrat Caballé,Riccardo Chailly,1
Montserrat Caballé,Umberto Giordano,1
National Philharmonic Orchestra,Riccardo Chailly,1
National Philharmonic Orchestra,Umberto Giordano,1
Riccardo Chailly,Umberto Giordano,1
Canção & Louvor,Damares,1
Bastardo,Sabotage,1
Bastardo,Sombra,1
Carlo Pallavicino,Jupiter,1
Carlo Pallavicino,Lea Desandre,1
Carlo Pallavicino,Thomas Dunford,1
Jupiter,Lea Desandre,1
Jupiter,Thomas Dunford,1
Lea Desandre,Thomas Dunford,1
Sabotage,Sombra,1
Gyorgy Vashegyi,Olivia Doray,1
Gyorgy Vashegyi,Reinoud Van Mechelen,1
Jean-Philippe Rameau,Olivia Doray,1
Jean-Philippe Rameau,Reinoud Van Mechelen,1
Olivia Doray,Orfeo Orchestra,1
Olivia Doray,Reinoud Van Mechelen,1
Orfeo Orchestra,Reinoud Van Mechelen,1
Cecilia Bartoli,Coro Sinfonico di Milano Giuseppe Verdi,1
Cecilia Bartoli,Giuseppe Verdi,1
Cecilia Bartoli,Luciano Pavarotti,1
Cecilia Bartoli,Orchestra Sinfonica di Milano Giuseppe Verdi,1
Cecilia Bartoli,Riccardo Chailly,1
Coro Sinfonico di Milano Giuseppe Verdi,Giuseppe Verdi,1
Coro Sinfonico di Milano Giuseppe Verdi,Luciano Pavarotti,1
Coro Sinfonico di Milano Giuseppe Verdi,Orchestra Sinfonica di Milano Giuseppe Verdi,1
Coro Sinfonico di Milano Giuseppe Verdi,Riccardo Chailly,1
Giuseppe Verdi,Orchestra Sinfonica di Milano Giuseppe Verdi,1
Giuseppe Verdi,Riccardo Chailly,1
Luciano Pavarotti,Orchestra Sinfonica di Milano Giuseppe Verdi,1
Luciano Pavarotti,Riccardo Chailly,1
Orchestra Sinfonica di Milano Giuseppe Verdi,Riccardo Chailly,1
Antonio Pappano,Giuseppe Verdi,1
Antonio Pappano,London Symphony Orchestra,1
Frei Gilson,Thiago Brado,1
ADL,BK,1
ADL,MV Bill,1
BK,Funkero,1
Chor der Deutschen Oper Berlin,Ghena Dimitrova,1
BK,MV Bill,1
Funkero,MV Bill,1
Chor der Deutschen Oper Berlin,Kurt Rydl,1
Choice,Xamã,1
Ghena Dimitrova,Giuseppe Sinopoli,1
Ghena Dimitrova,Giuseppe Verdi,1
Ghena Dimitrova,Kurt Rydl,1
Ghena Dimitrova,Orchester der Deutschen Oper Berlin,1
Dubdisko,Dubdogz,1
Giuseppe Sinopoli,Kurt Rydl,1
Dubdisko,Liu,1
Giuseppe Verdi,Kurt Rydl,1
Dubdogz,Liu,1
Kurt Rydl,Orchester der Deutschen Oper Berlin,1
BK,Juyè,1
JXNV$,Juyè,1
Juyè,Luccas Carlos,1
BK,Mayra Andrade,1
JXNV$,Mayra Andrade,1
Caetano Veloso,Rappin' Hood,1
Bagua Records,Portugal No Beat,1
Bagua Records,Xavi,1
Portugal No Beat,Xamã,1
Portugal No Beat,Xavi,1
Xamã,Xavi,1
Kemuel,Leonardo Gonçalves,1
Don L,Mateus Fazeno Rock,1
Michael Halasz,Richard Wagner,1
Michael Halasz,Slovak Philharmonic,1
Richard Wagner,Slovak Philharmonic,1
Gioachino Rossini,Philip Ellis,1
Gioachino Rossini,Royal Philharmonic Orchestra,1
Philip Ellis,Royal Philharmonic Orchestra,1
Georges Prêtre,Milano,1
Georges Prêtre,Orchestra Del Teatro Alla Scala,1
Georges Prêtre,Plácido Domingo,1
Georges Prêtre,Ruggero Leoncavallo,1
Milano,Plácido Domingo,1
Milano,Ruggero Leoncavallo,1
Orchestra Del Teatro Alla Scala,Plácido Domingo,1
Orchestra Del Teatro Alla Scala,Ruggero Leoncavallo,1
Plácido Domingo,Ruggero Leoncavallo,1
Dame Joan Sutherland,The London Opera Chorus,1
Giuseppe Verdi,The London Opera Chorus,1
Luciano Pavarotti,The London Opera Chorus,1
Richard Bonynge,The London Opera Chorus,1
Jussi Björling,RCA Victor Orchestra,1
Jussi Björling,Renato Cellini,1
Jussi Björling,Robert Merrill,1
RCA Victor Orchestra,Robert Merrill,1
Renato Cellini,Robert Merrill,1
Anneliese Rothenberger,Emmerich Kálmán,1
Anneliese Rothenberger,Symphonieorchester Graunke,1
Anneliese Rothenberger,Willy Mattes,1
Emmerich Kálmán,Symphonieorchester Graunke,1
Emmerich Kálmán,Willy Mattes,1
Symphonieorchester Graunke,Willy Mattes,1
Arturo Basile,Franco Corelli,1
Arturo Basile,Orchestra Sinfonica Nazionale della RAI di Torino,1
Arturo Basile,Ruggero Leoncavallo,1
Franco Corelli,Orchestra Sinfonica Nazionale della RAI di Torino,1
Franco Corelli,Ruggero Leoncavallo,1
Orchestra Sinfonica Nazionale della RAI di Torino,Ruggero Leoncavallo,1
André Rieu,Tanja Derwahl,1
Alexandre Carlo,Bagua Records,1
Alexandre Carlo,Edi Rock,1
Alexandre Carlo,Marcelo Falcão,1
Bagua Records,Edi Rock,1
Bagua Records,Marcelo Falcão,1
Edi Rock,Marcelo Falcão,1
Skeeter Beats,Yago Oproprio,1
Costa Gold,Wentz,1
