source,target,weight
English Baroque Soloists,John Eliot Gardiner,11
Giuseppe Verdi,Luciano Pavarotti,11
A7S,Clean Bandit,11
Luciano Pavarotti,Richard Bonynge,11
Alfie Boe,Michael Ball,11
Leslie Odom Jr.,Original Broadway Cast of Hamilton,11
Gerald Wirth,Wiener Sängerknaben,11
The London Philharmonic Chorus,Traditional,11
London Philharmonic Orchestra,Traditional,11
London Philharmonic Orchestra,The London Philharmonic Chorus,11
Andrew Lloyd Webber,Victoria Hamilton-Barritt,11
Arijit Singh,Jonita Gandhi,11
Jason Derulo,Sofía Reyes,11
Kacey Musgraves,Leon Bridges,11
London Symphony Orchestra,Sir Colin Davis,11
De La Ghetto,Sofía Reyes,11
Gaab,Mr. Dan,11
Eduardo Costa,Leonardo,11
David Guetta,Robin Schulz,11
Inner City,Kevin Saunderson,11
John Alldis Choir,London Philharmonic Orchestra,10
Arijit Singh,Tulsi Kumar,10
Ed Solo,Skool Of Thought,10
DJ Snake,Justin Bieber,10
Hillsong Worship,TAYA,10
Belo,Caju Pra Baixo,10
Eric Kupper,Jamie Principle,10
Ericka Nascimento,Sync 3,10
Berliner Philharmoniker,Gianni Maffeo,10
Frankie Knuckles,Jamie Principle,10
Giacomo Puccini,Gianni Maffeo,10
Massage Tribe,Perfect Meditation,10
Gianni Maffeo,Herbert von Karajan,10
Meditation Rain Sounds,Relaxing Water Sounds,10
Darren Criss,Glee Cast,10
Meditation Rain Sounds,Perfect Meditation,10
AP Dhillon,Shinda Kahlon,10
Chez Damier,Ron Trent,10
Shiloh Dynasty,itssvd,10
ILLENIUM,Teddy Swims,10
SHRK,Shiloh Dynasty,10
Luciano Pavarotti,National Philharmonic Orchestra,10
Alfredo De Angelis,Juan Carlos Godoy,10
Jesus Culture,Kim Walker-Smith,10
Dan + Shay,Justin Bieber,10
Director's Cut,Jamie Principle,10
Carlo Rizzi,Giuseppe Verdi,10
Massage Tribe,Meditation Rain Sounds,10
AP Dhillon,Gminxr,10
Perfect Meditation,Relaxing Water Sounds,10
Massage Tribe,Relaxing Water Sounds,10
DJ Robin,Schürze,10
A1Melodymaster,Nusrat Fateh Ali Khan,10
Neeraj Shridhar,Pritam,10
Josh A,iamjakehill,9
Becky Hill,Joel Corry,9
Ilaiyaraaja,S. Janaki,9
Jubin Nautiyal,Payal Dev,9
Hans Zimmer,Richard Harvey,9
Alphaxone,XERXES THE DARK,9
Lothika,OAFF,9
Rolando Villazón,Slovak National Symphony Orchestra,9
Drake,Jack Harlow,9
Kailash Kher,Naresh Kamath,9
Deep Sleep Hair Dryers,Hair Dryer Collection,9
ATTOMATIC RECORDS,Chronic Law,9
Kenyaman,Vipa Music,9
Gianni Maffeo,Luciano Pavarotti,9
Dynamite MC,Krafty Kuts,9
DJ Drama,Snoop Dogg,9
Edvard Grieg,Una Bourne,9
FKA twigs,The Weeknd,9
DJ BOY,MC Joãozinho VT,9
Andrew Lloyd Webber,Gerard Butler,9
Kailash Kher,Paresh Kamath,9
Naresh Kamath,Paresh Kamath,9
A.N.I.M.A.L.,Chuck Jhonson and Juan Jose Burgos,9
Justin Quiles,Robin Schulz,9
Deadly Guns,Dither,9
J Balvin,Marciano Cantero,9
Boston Symphony Orchestra,Seiji Ozawa,9
Bad Bunny,Marciano Cantero,9
Alfredo De Angelis,Julio Martel,9
Alfredo Kraus,Kurt Sanderling,9
Luciano Pavarotti,Zubin Mehta,9
Pritam,Sid Sriram,9
Pedro Haldemann,Walter Keiser,9
J Balvin,Sech,9
Kurt Sanderling,Symphony Orchestra of Madrid,9
Chris Jedi,Ñengo Flow,9
Future,Megan Thee Stallion,9
Afternight Vibes,Nusrat Fateh Ali Khan,9
Chencho Corleone,Ñengo Flow,9
Alireza Mashayekhi,Ata Ebtekar,9
Shreya Ghoshal,Sonu Nigam,9
Heinz Holliger,Wolfgang Amadeus Mozart,9
Chencho Corleone,Chris Jedi,9
Les Chanteurs de la Vierge,Traditional,9
Alfredo Kraus,Symphony Orchestra of Madrid,9
Andreas Vollenweider,Pedro Haldemann,9
Anuel AA,Chris Jedi,9
Arthur Fiedler,Johann Sebastian Bach,9
Anuel AA,Chencho Corleone,9
Atif Aslam,Pritam,9
Elba Ramalho,Geraldo Azevedo,9
Luciano Pavarotti,Mirella Freni,9
Vladimir Nechaev,Владимир Бунчиков,9
ILLENIUM,Said The Sky,9
Balalaika-Ensemble Troika,Ivan Rebroff,9
Orquesta Tipica Porteña,Roberto Goyeneche,9
Swedish House Mafia,The Weeknd,9
DJ Ruffneck,SPLT SCND,9
Boston Pops Orchestra,Johann Sebastian Bach,9
Allan Wilson,Slovak National Symphony Orchestra,9
Covent Garden,Orchestra of the Royal Opera House,9
John Martin,Swedish House Mafia,9
Alireza Mashayekhi,The Iranian Orchestra For New Music,9
Pritam,Shashwat Singh,9
Anuradha Paudwal,Udit Narayan,9
OAFF,Savera,9
Bethel Music,Brian Johnson,9
22Gz,Kodak Black,9
Idina Menzel,Kristen Bell,9
Allan Wilson,Rolando Villazón,9
Ata Ebtekar,The Iranian Orchestra For New Music,9
Alfredo De Angelis,Oscar Larroca,9
Chuck Jhonson and Juan Jose Burgos,Richard Kaplan,9
Don Jamieson,Jim Florentine,9
Anuel AA,Ñengo Flow,9
Benjamin William Hastings,Hillsong Worship,8
NG Rezonance,PHD,8
Javed Akhtar,Madan Mohan,8
Ash King,Pritam,8
Aníbal Troilo Y Su Orquesta Típica,Roberto Goyeneche,8
Catedral,Novo Som,8
Ali Farka Touré,Toumani Diabaté,8
Derrick May,Rhythim Is Rhythim,8
Asees Kaur,Tanishk Bagchi,8
Shiloh Dynasty,Timmies,8
Chico Science,Nação Zumbi,8
Daddy Yankee,Natti Natasha,8
Ocean Sounds,Ocean Waves For Sleep,8
Inner City,Steffanie Christi'an,8
Hilight Tribe,Vini Vici,8
Royal Philharmonic Orchestra,Traditional,8
Richard Benson and His Orchestra,Traditional,8
Christoph Israel,Traditional,8
Emmy Rossum,Gerard Butler,8
Andrew Lloyd Webber,Patrick Wilson,8
Connor Quest!,Rustage,8
Connor Quest!,Shwabadi,8
Salim Merchant,Salim–Sulaiman,8
Grover Washington,Jr.,8
Charli XCX,Icona Pop,8
Don Omar,Lucenzo,8
KAROL G,Mariah Angeliq,8
Marc Vitantonio,Marie-Thérèse Grisenti,8
Duo Grisenti Vitantonio,Marie-Thérèse Grisenti,8
Martin Garrix,Matisse & Sadko,8
Justin Bieber,Usher,8
Duo Grisenti Vitantonio,Marc Vitantonio,8
Ed Sheeran,Lil Baby,8
Alireza Mashayekhi,Marie-Thérèse Grisenti,8
Alireza Mashayekhi,Marc Vitantonio,8
Smyang Piano,tamagopalette,8
Salim–Sulaiman,Sunidhi Chauhan,8
Burna Boy,Wizkid,8
Alireza Mashayekhi,Duo Grisenti Vitantonio,8
Fala Comigo,Tiee,8
Klubfiller,Steve Hill,8
Giuseppe Verdi,Sir Colin Davis,8
Dimitri Vegas,Dimitri Vegas & Like Mike,8
Robin Schulz,Tom Walker,8
Nima Pourkarimi,Siavash Amini,8
Hessam Ohadi,Siavash Amini,8
Giuseppe Verdi,Wiener Philharmoniker,8
Hessam Ohadi,Nima Pourkarimi,8
Carlo Rizzi,Wiener Philharmoniker,8
Alireza Mashayekhi,Djamchid Chemirani,8
Luciano Pavarotti,Nicolai Ghiaurov,8
Herbert von Karajan,Nicolai Ghiaurov,8
Gianni Maffeo,Nicolai Ghiaurov,8
Giacomo Puccini,Nicolai Ghiaurov,8
ALEX,TOKYO ROSE,8
Berliner Philharmoniker,Nicolai Ghiaurov,8
J Balvin,Tainy,8
A.Skillz,Krafty Kuts,8
Gianni Maffeo,Rolando Panerai,8
Sidhu Moose Wala,Sunny Malton,8
MC Joãozinho VT,MC Ryan SP,8
Onasander,protoU,8
English Baroque Soloists,Johann Sebastian Bach,8
Benny Martin,The Wong Janice,8
John Alldis Choir,Zubin Mehta,8
Giacomo Puccini,John Alldis Choir,8
Alphaxone,Onasander,8
Future,Young Thug,8
Neha Kakkar,Tanishk Bagchi,8
Ed Tullett,Lowswimmer,8
Ed Tullett,Novo Amor,8
Lowswimmer,Novo Amor,8
Daniel Hope,Ludovico Einaudi,8
I Virtuosi Italiani,Ludovico Einaudi,8
Alphaxone,Dronny Darko,8
Hans Zimmer,Harold Faltermeyer,8
Hans Zimmer,Lady Gaga,8
Hans Zimmer,Lorne Balfe,8
Harold Faltermeyer,Lady Gaga,8
Gunna,Young Thug,8
Harold Faltermeyer,Lorne Balfe,8
Lady Gaga,Lorne Balfe,8
Fiachra Trench,Hans Zimmer,8
Fiachra Trench,Henning Lohner,8
Bethel Music,Melissa Helser,8
Johann Sebastian Bach,John Eliot Gardiner,8
Fiachra Trench,Martin Tillman,8
Hans Zimmer,Henning Lohner,8
Hans Zimmer,Martin Tillman,8
Henning Lohner,Martin Tillman,8
Guaynaa,Mariah Angeliq,8
Mathan,Naven,8
J Balvin,Jhayco,8
Cast - Sofia the First,Sofia,8
Daddy Yankee,Luis Fonsi,8
Alan Walker,salem ilese,8
Arijit Singh,Shilpa Rao,8
Grete Pedersen,The Norwegian Soloists' Choir,8
Silambarasan TR,Yuvan Shankar Raja,8
Haricharan,Yuvan Shankar Raja,8
Tanvi Shah,Yuvan Shankar Raja,8
Brandi Carlile,Lucius,8
Oonagh,Rolf Zuckowski,8
Oonagh,Sasha,8
Mattia Trani,ONYVAA,8
Berliner Philharmoniker,Pyotr Ilyich Tchaikovsky,8
Rolf Zuckowski,Sasha,8
Hagen Quartett,Johann Sebastian Bach,8
Concerto Köln,Wolfgang Amadeus Mozart,8
Berliner Philharmoniker,Mstislav Rostropovich,7
Joel Corry,Mabel,7
Swattrex,YOUNG AND BROKE,7
Gminxr,Gurinder Gill,7
Gjermund Larsen,Grete Pedersen,7
Snoop Dogg,Wiz Khalifa,7
Armin van Buuren,Vini Vici,7
Louis Prima,Sam Butera & The Witnesses,7
Britney Spears,Elton John,7
Alireza Mashayekhi,Layla Ramezan,7
Christopher Jackson,Lin-Manuel Miranda,7
Clean Bandit,French The Kid,7
Gjermund Larsen,Traditional,7
Clean Bandit,Rema,7
Disney,Vaneese Thomas,7
LaChanze,Lillias White,7
Apollo Voices,Graham Foote,7
Alireza Mashayekhi,Farimah Ghavamsadri,7
Cheryl Freeman,Disney,7
Cheryl Freeman,LaChanze,7
Cheryl Freeman,Lillias White,7
Grete Pedersen,Traditional,7
Bad Bunny,Tainy,7
Casa Worship,Julliany Souza,7
Giuseppe Verdi,Orchestra Del Teatro Alla Scala,7
Cheryl Freeman,Vaneese Thomas,7
BK,JXNV$,7
Djamchid Chemirani,Keyvan Chemirani,7
Amirhosein Allah Yari,Kiawasch Sahebnassagh,7
Jaideep Sahni,Salim–Sulaiman,7
Giuseppe Verdi,Plácido Domingo,7
LaChanze,Vaneese Thomas,7
Goldie,James Davidson,7
Apollo Voices,Slovak National Symphony Orchestra,7
Joey Montana,Sebastian Yatra,7
Giuseppe Verdi,Milano,7
Giuseppe Verdi,Richard Bonynge,7
Eugene Thacker,Siavash Amini,7
Billy Joe Shaver,Shaver,7
Lillias White,Vaneese Thomas,7
Future,Gunna,7
Mirella Freni,Rolando Panerai,7
A.N.I.M.A.L.,Mario Altamirano and A.N.I.M.A.L.,7
M. S. Subbulakshmi,Radha Viswanathan,7
Andrew Lloyd Webber,Georgina Castle,7
Deep Sleep Hair Dryers,Hair Dryers for Background Noise,7
Apollo Voices,Rolando Villazón,7
David Grisman,Doc Watson,7
Georgina Castle,Victoria Hamilton-Barritt,7
Jubin Nautiyal,Tanishk Bagchi,7
Andy Karl,Tim Minchin,7
Disney,LaChanze,7
Earth,Wind & Fire,7
Disney,Lillias White,7
Hofmästarn,Roffe Ruff,7
Emma Hunton,Krystina Alabado,7
Graham Foote,Slovak National Symphony Orchestra,7
Goldie,Subjective,7
Hair Dryer Collection,Hair Dryers for Background Noise,7
Albrecht Mayer,Johann Sebastian Bach,7
French The Kid,Rema,7
Graham Foote,Rolando Villazón,7
Gminxr,Shinda Kahlon,7
BRELAND,Lady A,7
Daveed Diggs,Lin-Manuel Miranda,7
ILLENIUM,Jon Bellion,7
A.R. Rahman,Shreya Ghoshal,7
Allan Wilson,Graham Foote,7
Dimitri Vegas & Like Mike,Like Mike,7
Arijit Singh,Palak Muchhal,7
James Davidson,Subjective,7
Allan Wilson,Apollo Voices,7
Daveed Diggs,Okieriete Onaodowan,7
Lata Mangeshkar,Udit Narayan,7
Badshah,Neha Kakkar,7
Andrew Lloyd Webber,Helen George,7
John Altman,Matt Dunkley,7
